Spine,Title,Netflix Streaming,URL,Director,Country,Year,Parent
113,Big Deal on Madonna Street,false,http://www.netflix.com/Movie/Big_Deal_on_Madonna_Street/60020651,Mario Monicelli,Italy,1958,
114,My Man Godfrey,true,http://www.netflix.com/Movie/My_Man_Godfrey/786802,Gregory La Cava,United States,1936,
115,Rififi,false,http://www.netflix.com/Movie/Rififi/60020832,Jules Dassin,France,1955,
116,The Hidden Fortress,true,http://www.netflix.com/Movie/Hidden_Fortress/60023023,Akira Kurosawa,Japan,1958,
117,Diary of a Chambermaid,false,http://www.netflix.com/Movie/Diary_of_a_Chambermaid/60003703,Luis Buñuel,France,1964,
118,Sullivan’s Travels,false,http://www.netflix.com/Movie/Sullivan_s_Travels/60020701,Preston Sturges,United States,1942,
119,Withnail and I,false,http://www.netflix.com/Movie/Withnail_and_I/60020699,Bruce Robinson,United Kingdom,1986,
120,How to Get Ahead in Advertising,false,http://www.netflix.com/Movie/How_to_Get_Ahead_in_Advertising/60027024,Bruce Robinson,United Kingdom,1988,
121,Billy Liar,false,http://www.netflix.com/Movie/Billy_Liar/70004182,John Schlesinger,United Kingdom,1963,
122,Salesman,false,http://www.netflix.com/Movie/Salesman/60000611,Albert Maysles…,United States,1968,
123,Grey Gardens,true,http://www.netflix.com/Movie/Grey_Gardens/70020235,Albert Maysles…,United States,1976,
124,Carl Theodor Dreyer: Day of Wrath,false,http://www.netflix.com/Movie/Day_of_Wrath/70100475,Carl Theodor Dryer,Denmark,,
124,Carl Theodor Dreyer: Ordet,false,http://www.netflix.com/Movie/Ordet/70105676,Carl Theodor Dryer,Denmark,,
124,Carl Theodor Dreyer: Gertrude,false,http://www.netflix.com/Movie/Gertrud/70105677,Carl Theodor Dryer,Denmark,,
124,Carl Theodor Dreyer: My Metier,false,http://www.netflix.com/Movie/Carl_Th._Dreyer_My_Metier/70105678,Torben Skjødt Jensen ,Denmark,,
129,Le trou,false,http://www.netflix.com/Movie/Le_Trou/60021824,Jacques Becker,France,1960,
130,The Shop on Main Street,false,http://www.netflix.com/Movie/The_Shop_on_Main_Street/60011355,Ján Kadár…,Czech Republic,1965,
131,Closely Watched Trains,true,http://www.netflix.com/Movie/Closely_Watched_Trains/60010240,Jirí Menzel,Czech Republic,1966,
132,The Ruling Class,true,http://www.netflix.com/Movie/The_Ruling_Class/60011338,Peter Medak,United Kingdom,1972,
133,The Vanishing,true,http://www.netflix.com/Movie/The_Vanishing/1086657,George Sluizer,Netherlands,1988,
134,Häxan,false,http://www.netflix.com/Movie/Haxan_Witchcraft_Through_the_Ages/60021603,Benjamin Christensen,Denmark,1922,
135,Rebecca,false,http://www.netflix.com/Movie/Rebecca/895272,Alfred Hitchcock,United States,1940,
136,Spellbound,false,http://www.netflix.com/Movie/Spellbound/988884,Alfred Hitchcock,United States,1945,
137,Notorious,false,http://www.netflix.com/Movie/Notorious/813874,Alfred Hitchcock,United States,1946,
138,Rashomon,true,http://www.netflix.com/Movie/Rashomon/60010815,Akira Kurosawa,Japan,1950,
139,Wild Strawberries,true,http://www.netflix.com/Movie/Wild_Strawberries/60011578,Ingmar Bergman,Sweden,1957,
140,8½,true,http://www.netflix.com/Movie/8_1_2/60021830,Federico Fellini,Italy,1963,
141,Children of Paradise,true,http://www.netflix.com/Movie/Children_of_Paradise/60010231,Marcel Carné,France,1945,
142,The Last Wave,false,http://www.netflix.com/Movie/The_Last_Wave/60020547,Peter Weir,Australia,1977,
143,That Obscure Object of Desire,false,http://www.netflix.com/Movie/That_Obscure_Object_of_Desire/60011658,Luis Buñuel,France,1977,
144,Loves of a Blonde,false,http://www.netflix.com/Movie/The_Loves_of_a_Blonde/60010616,Milos Forman,Czech Republic,1965,
145,The Firemen’s Ball,false,http://www.netflix.com/Movie/The_Firemen_s_Ball/60011128,Milos Forman,Czech Republic,1967,
146,The Cranes Are Flying,false,http://www.netflix.com/Movie/Cranes_Are_Flying/60023112,Mikhail Kalatozov,Soviet Union,1957,
147,In the Mood for Love,true,http://www.netflix.com/Movie/In_the_Mood_for_Love/60004444,Wong Kar-wai,Hong Kong,2000,
148,Ballad of a Soldier,true,http://www.netflix.com/Movie/Ballad_of_a_Soldier/60010116,Grigori Chukhrai,Soviet Union,1959,
149,Juliet of the Spirits,false,http://www.netflix.com/Movie/Juliet_of_the_Spirits/660795,Federico Fellini,Italy,1965,
150,Bob le flambeur,false,http://www.netflix.com/Movie/Bob_Le_Flambeur/60037528,Jean-Pierre Melville,France,1956,
151,Traffic,false,http://www.netflix.com/Movie/Traffic/60003243,Steven Soderbergh,United States,2000,
152,George Washington,false,http://www.netflix.com/Movie/George_Washington/60003758,David Gordon Green,United States,2000,
153,General Idi Amin Dada,true,http://www.netflix.com/Movie/General_Idi_Amin_Dada/60023062,Barbet Schroeder,France,1974,
154,The Horse’s Mouth,false,http://www.netflix.com/Movie/The_Horse_s_Mouth/60011184,Ronald Neame,United Kingdom,1958,
155,Tokyo Olympiad,false,http://www.netflix.com/Movie/Tokyo_Olympiad/60023302,Kon Ichikawa,Japan,1965,
156,Hearts and Minds,true,http://www.netflix.com/Movie/Hearts_and_Minds/60023304,Peter Davis,United States,1974,
157,The Royal Tenenbaums,true,http://www.netflix.com/Movie/The_Royal_Tenenbaums/60021794,Wes Anderson,United States,2001,
158,The Importance of Being Earnest,true,http://www.netflix.com/Movie/The_Importance_of_Being_Earnest/60020829,Anthony Asquith,United Kingdom,1952,
159,Red Beard,false,http://www.netflix.com/Movie/Red_Beard/60023889,Akira Kurosawa,Japan,1965,
160,À nous la liberté,true,http://www.netflix.com/Movie/A_Nous_la_Liberte/60023888,René Clair,France,1931,
161,Under the Roofs of Paris,false,http://www.netflix.com/Movie/Under_the_Roofs_of_Paris/60023890,René Clair,France,1930,
162,Ratcatcher,true,http://www.netflix.com/Movie/Ratcatcher/60003773,Lynne Ramsay,United Kingdom,1999,
163,Hopscotch,true,http://www.netflix.com/Movie/Hopscotch/60023755,Ronald Neame,United States,1980,
164,Solaris,true,http://www.netflix.com/Movie/Solaris/60000596,Andrei Tarkovsky,Soviet Union,1972,
165,Man Bites Dog,true,http://www.netflix.com/Movie/Man_Bites_Dog/60024122,Rémy Belvaux…,France,1992,
166,Down by Law,false,http://www.netflix.com/Movie/Down_by_Law/60024537,Jim Jarmusch,United States,1986,
167,The Complete Monterey Pop Festival,false,http://www.netflix.com/Movie/The_Complete_Monterey_Pop_Festival/60030596,,United States,,
168,Monterey Pop,false,http://www.netflix.com/Movie/The_Complete_Monterey_Pop_Festival/60030596,D. A. Pennebaker,United States,1967,
169,Jimi Plays Monterey & Shake! Otis at Monterey,false,http://www.netflix.com/Movie/The_Complete_Monterey_Pop_Festival/60030596,D. A. Pennebaker…,United States,1986,
