SKY,FLT,DAMAGE,REPORTED_NAME,REMAINS_COLLECTED,BIRDS_SEEN,FAAREGION,REPORTED_DATE,EFFECT_OTHER,REMAINS_SENT,WARNED,INDICATED_DAMAGE,PRECIP,AOS,LOCATION,PHASE_OF_FLT,SPECIES,TYPE_ENG,DISTANCE,ATYPE,EFFECT,HEIGHT,NR_FATALITIES,TIME_OF_DAY,STATE,BIRDS_STRUCK,AC_MASS,AC_CLASS,OPERATOR,SIZE,INCIDENT_DATE,NR_INJURIES,COST_REPAIRS_INFL_ADJ,ENROUTE,RUNWAY,AIRPORT,COMMENTS,COST_OTHER_INFL_ADJ,REMARKS,NUM_ENGS,TIME,SPEED
,,Minor (Civilian),,FALSE,,,,,FALSE,,TRUE,,,SACRAMENTO,Approach,Unknown bird - medium,Turboprop,,C-208,,,,,,1,2,Airplane,BUSINESS,Medium,2/8/90 0:00,,,CA,,UNKNOWN,OPER = WESTAIR INDUSTRIES INC SOURCE = FAA AIRCRAFT ACCIDENT/INCIDENT REPT,,BIRDTRIKE ON FINAL. LANDED W/O INCIDENT. MINOR DMG.,1,,
,,None (Military),Deleted,FALSE,1,ASO,5/19/00,,FALSE,,FALSE,,,,Climb,Unknown bird - medium,,,EC-130E,,50,,Day,MS,1,,Helicopter,MILITARY,Medium,2/8/90 0:00,,,,,GULFPORT-BILOXI INTL APRT,SOURCE = BASH NR xxxxx,,"REMARKS -  ;  AIRCRAFT -  EC - 130 - E;  IMPACT -  CENTER WINDOW;  NUMBER OF BIRDS (S, F, or Z) -  S",,11:48,110
,,None (Military),Deleted,TRUE,1,AWP,5/19/00,,TRUE,,FALSE,,,,Take-off run,"Sandpipers, curlews, phalaropes, allies",,0,C-135,,0,,Day,HI,1,,Airplane,MILITARY,Small,2/8/90 0:00,,,,,LIHUE ARPT,SOURCE = BASH NR xxxxx,,"REMARKS -  ;  AIRCRAFT -  C - 135 - ;  IMPACT -  LEFT OUTBOARD FLAP;  NUMBER OF BIRDS (S, F, or Z) -  S",,10:50,120
,,,Deleted,FALSE,,,,,FALSE,,FALSE,,,,,Unknown bird - medium,Turbofan,,B-757-200,,,,,,1,4,Airplane,UPS AIRLINES,Medium,2/9/90 0:00,,,,,UNKNOWN,,,ENGINE INGESTION. DAMAGE UNKN,2,,
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Mannikins,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Small,2/9/90 0:00,,,,,LIHUE ARPT,,,,,,
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Zebra dove,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Small,2/9/90 0:00,,,,,LIHUE ARPT,,,,,,
,,Substantial (Civilian),Deleted,FALSE,,AEA,,,FALSE,,TRUE,,,,Climb,Mallard,Turbofan,,B-747,,20,,,NY,1,5,Airplane,LUFTHANSA,Medium,2/10/90 0:00,,,,,JOHN F KENNEDY INTL,ENG MANU #xxxxxx,,1 INGESTED. VIBRATION INCREASED. AIRFOIL BLADE DEFORMATION.,4,,175
,,Minor (Civilian),Deleted,FALSE,,,,,FALSE,,TRUE,,,FOUND AT KJFK,,Unknown bird - medium,Turbofan,,B-767-200,,,,,,1,4,Airplane,AMERICAN AIRLINES,Medium,2/11/90 0:00,,,,,UNKNOWN,ENG MANU #xxxxxx  SOURCE = ENG MANU & FAA TECH CNTR REPT xxx,,1 BIRD INGESTED. 1 FAN BLADE DAMAGED. DETAILS UNKN.,2,,
,,None (Military),Deleted,FALSE,1,AEA,5/19/00,,FALSE,,FALSE,,,,Approach,Unknown bird - medium,,,C-130E,,800,,Day,NY,1,,Airplane,MILITARY,Medium,2/11/90 0:00,,,,,NIAGARA FALLS INTL,SOURCE = BASH NR xxxxx,,"REMARKS -  ;  AIRCRAFT -  C - 130 - E;  IMPACT -  C/P SIDE CTR WINDOW;  NUMBER OF BIRDS (S, F, or Z) -  S",,16:15,140
,1616,None (Military),Deleted,FALSE,,AEA,6/27/11,,FALSE,,FALSE,,,,Take-off run,Unknown bird,Turboprop,0,FOKKER F27,,0,,,NY,1,3,Airplane,1US AIRWAYS,,2/12/90 0:00,,,,13,LA GUARDIA ARPT,(x/xx/xx UPDATED A/C),,"PHASE REPTD AS DEPARTURE, ASSUME T/O RUN. A/C - F-28. # STRUCK NOT REPTD, ASSUME 1",2,,
,,Substantial (Civilian),Deleted,FALSE,,AEA,,,FALSE,,TRUE,,,,Climb,Unknown bird - medium,Turbofan,,B-737-300,,,,,PA,1,4,Airplane,1US AIRWAYS,Medium,2/13/90 0:00,,,,,PITTSBURGH INTL ARPT,ENG MANU #xxxxxx,,1 BIRD INGESTED. VIBRATION 4.5. CORE INGESTION. 2 BLADES  DEFORMED.,2,,
,,None (Military),Deleted,FALSE,2-10,ASW,5/19/00,,FALSE,,FALSE,,,,Climb,Unknown bird - medium,,,C-9,,100,,Dusk,LA,2-10,,Airplane,MILITARY,Medium,2/13/90 0:00,,,,,ALEXANDRIA INTL,SOURCE = BASH NR xxxxx,,"REMARKS -  ;  AIRCRAFT -  C - 9 - ;  IMPACT -  RADOME;  NUMBER OF BIRDS (S, F, or Z) -  F",,17:43,180
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Mannikins,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Small,2/14/90 0:00,,,,,LIHUE ARPT,,,,,,
,,Substantial (Civilian),Deleted,FALSE,,AWP,,,FALSE,,TRUE,,,,Take-off run,Unknown bird - medium,Turbofan,0,B-737,Precautionary Landing,0,,,CA,1,4,Airplane,UNITED AIRLINES,Medium,2/14/90 0:00,,,,,SACRAMENTO INTL,ENG MANU #xxxxxx,,NO CORE INGESTION. 3 FAN BLADES SHINGLED.,2,,
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Short-eared owl,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Small,2/15/90 0:00,,,,,LIHUE ARPT,,,,,,
,631,None (Military),Deleted,FALSE,,AEA,6/27/11,,FALSE,,FALSE,,,,Take-off run,Unknown bird,Turbofan,0,B-727,,0,,,NY,1,4,Airplane,NORTHWEST AIRLINES,,2/18/90 0:00,,,,4,LA GUARDIA ARPT,,,"PHASE NOT REPTD, JUST STRIKE ON DEPARTURE, ASSUME TAKE-OFF RUN. # STRUCK NOT REPTD, ASSUME 1",3,,
,,Minor (Civilian),,FALSE,,AEA,,,FALSE,,TRUE,,,,Landing Roll,White-tailed deer,Reciprocating (Piston),0,PA-28,,0,,Night,NJ,1,1,Airplane,PRIVATELY OWNED,Large,2/19/90 0:00,,,,,ROBT J MILLER AIR PARK,SOURCE = ASIAS BRIEF REPT xxxxxxxxxxxxxxG,,"HIT DEER ON LDG. MINOR DMG TO PROP AND NOSE GEAR. FLT WAS PERSONAL, PLEASURE.",1,,
,,None (Military),Deleted,FALSE,1,ASW,5/19/00,,FALSE,,FALSE,,,,Approach,Unknown bird - medium,,,A-10A,,150,,Day,LA,1,,Airplane,MILITARY,Medium,2/20/90 0:00,,,,,ALEXANDRIA INTL,SOURCE = BASH NR xxxxx,,"REMARKS -  ;  AIRCRAFT -  A - 10 - ;  IMPACT -  LEFT WING FLAP;  NUMBER OF BIRDS (S, F, or Z) -  S",,15:50,180
No Cloud,,None (Military),,FALSE,,AEA,2/22/90,,FALSE,N,FALSE,None,,,Approach,Unknown bird - large,Turbofan,,B-727,,"2,000",,Night,DC,1,4,Airplane,FEDEX EXPRESS,Large,2/22/90 0:00,,,,,WASHINGTON DULLES INTL ARPT,,,FLT 978 NO DAMAGE/INJURY,3,,190
No Cloud,,None (Military),,FALSE,2-10,AEA,2/22/90,,FALSE,N,FALSE,None,,,Approach,Gulls,Turboprop,,CV-580,,"12,000",,Day,NJ,2-10,3,Airplane,FAA,Medium,2/22/90 0:00,,,,,ATLANTIC CITY INTL,(x/x/xx UPDATED OPER),,NO DAMAGE.,2,,
,1074,,Deleted,FALSE,,AEA,6/27/11,,FALSE,,FALSE,,,,Landing Roll,Unknown bird,Turbofan,0,B-737,,0,,,NY,1,4,Airplane,1US AIRWAYS,,2/23/90 0:00,,,,22,LA GUARDIA ARPT,,,"ENGINE INGESTION. (ENG # NOT REPTD, DEFAULT TO #1). PHASE NOT REPTD, JUST ARRIVING, ASSUME LANDING ROLL. # STRUCK NOT REPTD, ASSUME 1",2,,
No Cloud,,,,FALSE,,AEA,,,FALSE,,FALSE,None,,,,"Ducks, geese, swans",Turbofan,,B-707,None,,,Night,DC,2-10,4,Airplane,UNITED AIRLINES,Large,2/24/90 0:00,,,,1R,WASHINGTON DULLES INTL ARPT,,,UNKN WATERFOWL,4,,
